Symbol,ID
Eif2s1,13665
Eif2ak3,13666
Eif2b4,13667
Eif3a,13669
Ddx19a,13680
Eif4a1,13681
Eif4a2,13682
Eif4e,13684
Eif4ebp1,13685
Eif4ebp2,13688
Eif4g2,13690
Cela2a,13706
Elf1,13709
Elf3,13710
Elf5,13711
Elk1,13712
Elk3,13713
Elk4,13714
Ell,13716
Eln,13717
Aimp1,13722
Emb,13723
Emd,13726
Mark2,13728
Emp1,13730
Emp2,13731
Emp3,13732
Adgre1,13733
Emx1,13796
Emx2,13797
En1,13798
En2,13799
Enah,13800
Enam,13801
Enc1,13803
Endog,13804
Eng,13805
Eno1,13806
Eno2,13807
Eno3,13808
Enpep,13809
Eomes,13813
Epas1,13819
Epb41l1,13821
Epb41l2,13822
Epb41l3,13823
Epb41l4a,13824
Epb42,13828
Dmtn,13829
Stom,13830
Epc1,13831
Epha1,13835
Epha2,13836
Epha3,13837
Epha4,13838
Epha5,13839
Epha6,13840
Epha7,13841
Epha8,13842
Ephb2,13844
Ephb3,13845
Ephb4,13846
Ephb6,13848
Ephx1,13849
Ephx2,13850
Stx2,13852
Epm2a,13853
Epn1,13854
Epn2,13855
Epo,13856
Epor,13857
Eps15,13858
Eps15l1,13859
Eps8,13860
Epx,13861
Lcn5,13863
Nr2f6,13864
Nr2f1,13865
Erbb2,13866
Erbb3,13867
Erbb4,13869
Ercc1,13870
Ercc2,13871
Ercc3,13872
Ereg,13874
Erf,13875
Erg,13876
Erh,13877
Ces1c,13884
Esd,13885
Ces1e,13897
Ces3b,13909
Ptprv,13924
Amz2,13929
Gnb1l,13972
Esr1,13982
Esr2,13983
Esx1,13984
Smarcad1,13990
Khdrbs3,13992
Etohd2,13996
Fgd6,13998
Gm14288,13999
Drosha,14000
Chchd2,14004
Celf2,14007
Etv2,14008
Etv1,14009
Etv6,14011
Mpzl2,14012
Mecom,14013
Evi2a,14017
Evi5,14020
Bcl11a,14025
Evl,14026
Evpl,14027
Evx1,14028
Evx2,14029
Ewsr1,14030
Wfdc18,14038
Ext1,14042
Ext2,14043
Eya1,14048
Eya2,14049
Eya3,14050
Eya4,14051
Ezh1,14055
Ezh2,14056
Sfxn1,14057
F10,14058
F13b,14060
F2,14061
F2r,14062
F2rl1,14063
F2rl2,14064
F2rl3,14065
F3,14066
F5,14067
F7,14068
F8,14069
F8a,14070
F9,14071
Faah,14073
Fabp3,14077
Fabp2,14079
Fabp1,14080
Acsl1,14081
Fadd,14082
Ptk2,14083
Faf1,14084
Fah,14085
Fscn1,14086
Fanca,14087
Fancc,14088
Fap,14089
Fas,14102
Fasl,14103
Fasn,14104
Srsf10,14105
Foxh1,14106
Fat1,14107
Fau,14109
Fbl,14113
Fbln1,14114
Fbln2,14115
Fbn1,14118
Fbn2,14119
Fbp2,14120
Fbp1,14121
Fbrs,14123
Fcer1a,14125
Ms4a2,14126
Fcer1g,14127
Fcer2a,14128
Fcgr1,14129
Fcgr2b,14130
Fcgr3,14131
Fcgrt,14132
Fcna,14133
Fcnb,14134
Fdft1,14137
Fdx1,14148
Fdxr,14149
Fech,14151
Fem1a,14154
Fem1b,14155
Fen1,14156
Fer,14158
Fes,14159
Lgr5,14160
Fga,14161
Fgd1,14163
Fgf1,14164
Fgf10,14165
Fgf11,14166
Fgf12,14167
Fgf13,14168
Fgf14,14169
Fgf15,14170
Fgf17,14171
Fgf18,14172
Fgf2,14173
Fgf3,14174
Fgf4,14175
Fgf5,14176
Fgf6,14177
Fgf7,14178
Fgf8,14179
Fgf9,14180
Fgfbp1,14181
Fgfr1,14182
Fgfr2,14183
Fgfr3,14184
Fgfr4,14186
Akr1b8,14187
Fgl2,14190
Fgr,14191
Fh1,14194
Fhit,14198
Fhl1,14199
Fhl2,14200
Fhl3,14201
Fhl4,14202
Il4i1,14204
Vegfd,14205
Ppm1g,14208
Smc2,14211
Sh3pxd2a,14218
Ctgf,14219
Fjx1,14221
Fkbp1a,14225
Fkbp1b,14226
Fkbp2,14227
Fkbp4,14228
Fkbp5,14229
Fkbp10,14230
Fkbp7,14231
Fkbp8,14232
Foxi1,14233
Foxc2,14234
Foxm1,14235
Foxn2,14236
Foxd4,14237
Foxf2,14238
Foxs1,14239
Foxb2,14240
Foxl1,14241
Lpin1,14245
Flg,14246
Fli1,14247
Flii,14248
Flot1,14251
Flot2,14252
Flt1,14254
Flt3,14255
Flt3l,14256
Flt4,14257
Fmn1,14260
Fmo1,14261
Fmo3,14262
Fmo5,14263
Fmod,14264
Fmr1,14265
Aff2,14266
Fn1,14268
Fnbp1,14269
Srgap2,14270
Fnta,14272
Folr1,14275
Folr2,14276
Fos,14281
Fosb,14282
Fosl1,14283
Fosl2,14284
Fpgs,14287
Fpr2,14289
Fpr-rs3,14290
Fpr-rs4,14291
Fpr1,14293
Fpr3,14294
Frat1,14296
Fxn,14297
Ncs1,14299
Frg1,14300
Frk,14302
Fshb,14308
Fshr,14309
Cidec,14311
Brd2,14312
Fst,14313
Fstl1,14314
Ftcd,14317
Fth1,14319
Ftl1,14325
Aktip,14339
Fut1,14343
Fut2,14344
Fut4,14345
Fut7,14347
Fut9,14348
Fv1,14349
Timm10b,14356
Dtx1,14357
Fxr1,14359
Fyn,14360
Fzd1,14362
Fzd3,14365
Fzd4,14366
Fzd5,14367
Fzd6,14368
Fzd7,14369
Fzd8,14370
Fzd9,14371
G0s2,14373
Xrcc6,14375
Ganab,14376
G6pc,14377
G6pc2,14378
G6pd2,14380
G6pdx,14381
Slc37a4,14385
Gaa,14387
Gab1,14388
Gab2,14389
Gabpa,14390
Gabpb1,14391
Gabra1,14394
Gabra2,14395
Gabra3,14396
Gabra4,14397
Gabra6,14399
Gabrb1,14400
Gabrb2,14401
Gabrb3,14402
Gabrd,14403
Gabre,14404
Gabrg1,14405
Gabrg2,14406
Gabrg3,14407
Gabrr1,14408
Gabrr2,14409
Slc6a12,14411
Slc6a13,14412
Gad1,14415
Gad2,14417
Gal,14419
Galc,14420
B4galnt1,14421
B4galnt2,14422
Galnt1,14423
Galnt3,14425
Galnt4,14426
Galr1,14427
