liver_myc	kidney_myc	lung_myc	lung_mycras	lung_ras	tall_myc	eumyc_myc
Hnrnpc	Gnb2	Ppat	Bhlha15	Tnfsf9	Dnajc9	Akap1
Hnrnpa1	Rack1	Naa25	Marcksl1	Tpi1	Gpt2	Alas2
Hnrnpab	Pdpn	Aimp2	Cited2	Traf4	Fam207a	Fgfrl1
Hnrnpl	Lilrb4a	Ccz1	Mt1	Trf	Rdh13	Mta1
Prmt2	Gpc3	Mat2a	Muc1	Phlda2	Atad3a	Slc19a2
Prmt1	Emg1	Eva1a	Naca	Tgoln1	Fam72a	Amy1
Hspa8	Cdca3	Mrps35	Ndrg1	Tuba1c	B4gat1	Slc25a4
Hsp90aa1	Cxcl1	Syne4	Nipsnap1	Txn1	Nusap1	Slc25a5
Hspg2	Haspin	Lman1l	Nme1	Ggact	Rcc2	Anxa3
Trmt2a	Gspt2	Usp3	Nme2	Ly6g2	Cdca2	Prdx6
Elavl1	Gtf2h1	Bpnt1	Uhrf1	Naprt	E2f8	Aox1
Ica1	Gtf2h4	Cfdp1	Npm1	Tceal9	Ciapin1	Ap1s1
Cxcl10	Guca1a	Farsb	Npm3	Zmat3	Pfdn4	Fabp4
Igf2	H2afx	Gadd45g	Sigmar1	Atp13a4	Dnaaf2	Speg
Igf2r	Hk2	Impdh2	Mybbp1a	Muc20	Exosc4	Apex1
Igh-VJ558	Hmga1	Tenm4	Pabpc1	Wnt7b	Ints5	Birc5
Il10rb	Jpt1	Xrn2	Pafah1b3	Dpp9	Sephs1	Aprt
Incenp	Hnrnpl	Zdhhc13	Etv4	Ttc7	Rars2	Rplp0
Itgb7	Hr	Mcph1	Pfkl	Rin1	Gins4	Synpo2
Itpr3	Prmt2	Tmem266	Pfn1	Gstp3	Mlec	Ass1
Kcnh2	Prmt1	Rbbp7	Pgam1	Cbwd1	A930002I21Rik	Atp1a1
Kif11	Hspb1	Polr2h	Piga	Slc23a3	Kif24	Atp1b1
Kif12	Hspg2	Rbm47	Pkm	Zranb3	Tmem250-ps	Atp1b3
Kif4	Icam1	Ceacam1	Pld1	B3gnt7	Ankrd39	Atp2a2
Klra3	Ifngr2	Mapk13	Pa2g4	Smox	Fam163b	Atp4a
Krt17	Cyr61	Nubp1	Plk1	Sdcbp2	Dsp	Atp5g1
Lad1	Il18r1	Sh3pxd2b	Plp2	Tm4sf4	Acy1	Atpif1
Stmn1	Incenp	Lsm12	Lcp1	Tmem268	Ctrl	Slc7a1
Large1	Inhba	Cops4	Pold2	Serinc2	Cyb5a	Pcdh15
Lgals1	Itga3	Rpl12	Prkab1	Sel1l3	Ampd2	Bard1
Lgals3	Itga5	Ppp2r5c	St14	Atp10d	Blvra	Bcap29
Lig1	Eif6	Ell3	Psmb1	Parm1	Pgm3	Bcat1
Rps2	Itih3	Tex10	Psmb7	Micall2	Glo1	Cspg4
Lmna	Itpr3	Eif4e2	Psme1	Ccz1	Mzf1	Mrps6
Lmnb1	Jak3	Rps3	Pter	Prc1	Cela1	Bgn
Lmnb2	Junb	Asns	Bspry	Fgl1	Gusb	Blm
Ltb	Jund	Rpl7a	Wfdc15b	Elmo3	Kif22	Bmp1
Ltf	Mdfic	Plek2	Pthlh	Usp3	Dek	Bmp8a
Ly6c1	Kif11	Tnfrsf12a	Tmsb10	Gadd45g	Dut	Bmpr1a
Zfp704	Kif1a	Txnl4a	Itgb4	Ggt5	Nop2	Brca1
Sgk3	Kif4	Prmt5	Rabggtb	Lrp12	Mpi	Brca2
Rac3	Klf4	Pign	Raet1b	Tenm4	Gm42418	Bsn
Ly9	Krt14	Eif5a	Rab34	AU021092	Fdps	Btg3
Lyar	Krt17	Gm5069	Ranbp1	Lamp3	Pgd	Bub1
Sumo2	Krt18	Eif3b	Rbp4	Slc26a4	Cox6b1	Bub1b
Erdr1	Krt19	Exosc5	Rgs16	Malt1	Dync2h1	Serping1
Lyz2	Krt8	Ing4	Rgs5	St8sia6	Sec13	C1qbp
Lyz1	Lama5	Pmm1	Ros1	Manea	Qdpr	C3
Marcks	Lamb3	Gnl3	Rpl18	Ppp1r9a	Acat1	C4b
Mbp	Laptm5	Zfp330	Rpl19	Ntn5	Acat2	Hyou1
Mcm3	Lbp	Dpep2	Rpl21	Prss35	Adarb1	Cacna1b
Mcm2	Lck	Dusp4	Rpl22	Amdhd2	Fntb	Cacnb3
Mcm4	Lcn2	Dctd	Rpl28	Rbm47	Hdlbp	Cacybp
Mcm5	Lgals1	Ubtd2	Rpl29	Grhl2	Rps6ka3	Aspm
Mcm6	Lgals3	Tssc1	Rpl30	Ceacam1	Chaf1b	Camk4
Mcm7	Lig1	Iars2	Polr1c	Fgd2	Cse1l	Canx
Melk	Llgl1	Batf3	Polr1d	Mapk13	Nr3c2	Car3
Mfge8	Lmna	Urb2	Polr1a	Slc7a11	Srsf1	Cav1
Bhlha15	Lmnb1	Irs2	Rps15	Sh3pxd2b	Pwp2	Serpinh1
Mki67	Lmnb2	Kng2	Rps16	Greb1	Pcca	Cbs
Marcksl1	Lox	Eno1b	Rps24	Dysf	Etfb	Cbx2
Mnat1	Loxl1	Thop1	Rps5	Pla2g4f	Etfa	Cbx5
Mns1	Ltbp3	Plpp2	Rps6	Plek2	Ptpa	Ccna2
Mpo	Ly6e	Acsl4	Rrm2	Tnfrsf12a	Nudt19	Ccnb2
Mras	Tlr7	Uchl3	Serpinf1	Msrb1	Tars	Ccnd1
Mre11a	Rac3	Ctps	Sema4a	Slc25a10	Pecr	Ccne1
Msh2	Bbc3	Bok	Serf1	Pign	Hmga1-rs1	Ccne2
Msh6	Ly86	Hn1l	Sftpb	Abca3	Gm45716	Ccnf
Map2	Erdr1	Nus1	Shmt1	Gm5069	Egln3	Cct3
Mtf2	Lyz2	Ankrd22	St6gal1	Hist1h2ad	Abcb7	Ctla4
Mthfd2	Il17rc	Nhp2	St6galnac4	Hist1h2ak	Acads	Cd34
Mast2	Lyz1	Hnrnpa2b1	Slc12a2	Dpep2	Slc33a1	Cd3e
Mybl2	Smad1	Stk39	Slc13a2	Dusp4	Aco2	Cd3g
