liver_myc	kidney_myc	lung_myc	lung_mycras	lung_ras	tall_myc	eumyc_myc
20135	19250	68193	22422	69134	12180	13806
20168	19267	68241	225215	69534	12181	13819
20174	19280	68294	225870	69581	12189	13824
20185	192897	68533	225884	69640	12190	13877
20195	19291	68626	22626	69697	12215	14004
20250	19352	68705	226414	69806	12217	140559
20345	19359	68730	226419	69890	12235	14056
20356	19365	68758	226564	70155	12236	14057
20415	19366	68915	226830	70186	12237	140570
20419	19369	68949	227327	70274	12261	140577
20438	19383	68971	227522	70536	12282	14062
20448	19385	69080	228026	70835	12301	14065
20509	19387	69101	228366	71207	12306	140765
20510	19415	69581	228368	71712	12315	14083
20540	195209	69640	228608	71819	12316	14086
20588	19697	69692	228765	71893	12326	14104
20595	19698	69833	228775	71913	12330	14107
20606	19716	70044	228889	71934	12340	14113
20624	19826	70186	229211	72042	12346	14118
20638	19862	70285	229524	72058	12366	14156
20641	19899	70333	230082	72121	12367	14163
20652	19921	70427	230279	72157	12387	14182
20668	19933	70572	230721	72219	12409	14211
20719	19935	70821	230779	72469	12412	14219
20728	19941	71041	230991	72789	12416	14228
20730	19943	71177	231238	73608	12417	14229
20732	19944	71345	231327	73712	12419	14230
20788	19981	71449	231872	73737	12428	14235
208084	19982	71780	232146	73750	12442	14238
20810	20017	71910	232187	74007	12444	14257
208104	20018	71911	232334	74155	12447	14268
208146	20019	71934	233066	74340	12448	14270
20815	20054	71974	233406	74776	12449	14284
208194	20055	72056	233870	74777	12461	14297
208228	20088	72084	234199	75089	12462	14314
20833	20091	72102	234374	75646	12464	14371
208518	20102	72124	234577	75909	12465	14375
208628	20103	72133	235416	76130	12466	14433
20873	20116	72157	235441	76261	12468	14450
208748	20133	72265	236539	76527	12469	14455
20877	20135	72440	23825	76561	12499	14463
20878	20174	72462	23827	76574	12500	14536
208943	20194	72640	23837	76630	12501	14544
208990	20195	72947	23874	76905	12502	14559
20908	20200	72960	23886	76974	12504	14562
209195	20201	73137	23918	77462	12509	14570
20924	20287	73710	23966	78088	12530	14584
209268	20289	73750	23983	78317	12531	14615
20937	20293	73836	23985	78785	12532	14629
20947	20305	74747	240055	78938	12534	14630
20972	20306	74776	242642	79202	12539	14635
209737	20307	75316	243967	81840	12544	14664
211064	20308	76130	244886	81910	12545	14686
211651	20310	76454	244954	93672	12549	14695
211666	20364	76630	245688	93692	12554	14719
212123	20390	76687	245841	93726	12566	14727
212307	20440	76890	245945	93842	12567	14731
212377	20448	76952	246316	94040	12571	14732
212399	20491	77411	257635	94179	12572	14733
212528	20531	77862	26365	94185	12578	14747
212539	20568	78757	26415	97031	12580	14758
212547	20586	78895	26427		12589	14764
212679	20595	78938	26451		12606	14783
212880	20624	79202	26456		12614	14793
213211	20637	80914	268490		12615	14827
21346	20666	81910	268697		12617	14841
213539	20677	94093	26894		12626	14873
21357	20682	94181	26905		12631	14886
213895	20692	94185	269261		12649	14924
213948	20716	97031	26931		12704	14933
21400	20719	97487	269344		12715	14957
21415	207521	98170	269378		12729	14962
21429	20760	98238	26944		12740	14990
214345	20761	98758	269536		12773	15122
214444	207819		26987		12793	15168
21453	207952		27041		12812	15191
214572	208084		27050		12842	15201
214901	20810		27176		12846	15209
215193	208144		271844		12848	15245
215387	208146		27260		12850	15254
215494	20833		27279		12856	15267
215690	20848		27366		12857	15270
215708	208518		27370		12858	15277
216019	20856		27374		12859	15360
216156	208618		27392		12861	15361
21672	208628		276770		12864	15366
216766	208748		277333		12865	15384
21677	20878		27973		12866	15439
21681	208968		27979		12867	15460
216829	209195		27993		12868	15469
216856	20924		27998		12877	15481
217031	20937		28019		12892	15510
217138	20972		29870		12896	15519
217169	209737		30056		12972	15529
217325	209773		30058		12974	15530
217328	210622		30059		13001	15925
217333	211064		30060		13003	15983
217430	211651		30840		13006	16004
21750	212503		30877		13046	16007
21753	212539		30927		13063	16009
217653	212547		30932		13167	16010
21771	212679		30963		13178	16160
21781	213539		319165		13194	16177
21786	213541		319167		13195	16181
218121	213603		319168		13200	16196
218138	213753		319169		13340	16197
21849	213773		319170		13353	16206
21853	213895		319173		13360	16211
21856	213948		319176		13361	16319
21857	21429		319446		13382	16324
218581	21453		319520		13417	16332
21873	214572		320158		13419	16402
21877	214901		320685		13433	16407
218973	215193		320718		13436	16449
218977	215387		328162		13445	16497
219114	216161		330050		13446	16523
21912	216456		330173		13478	16525
21917	216725		330890		13482	16534
21924	216766		353499		13494	16551
21973	21677		381045		13495	16568
21985	21681		381101		13497	16571
22003	216856		381314		13511	16576
22042	216869		381667		13555	16580
22063	216963		382038		13557	16592
22113	217031		384783		13595	16647
22121	217219		385643		13601	16668
22129	217342		406217		13603	16763
22137	21753		432442		13605	16765
22142	217653		432486		13617	16772
22143	21771		432720		13631	16773
22154	217847		433182		13639	16774
22158	217995		433323		13656	16776
22171	21803		433470		13664	16777
22172	21810		433923		13665	16779
22247	21826		434858		13667	16803
22256	21838		50492		13669	16828
22321	21841		50784		13680	16835
22329	218454		50790		13681	16847
22340	21849		50927		13684	16852
223483	21853		50933		13685	16866
223626	21857		51797		13722	16880
223666	21858		51800		13723	16881
22367	21877		52009		13804	16891
223773	218977		52024		13806	16906
223921	219114		52033		13808	16907
225027	219144		52118		13824	16950
225134	219151		52331		13828	16997
22594	21923		52530		13829	16998
225995	21939		53379		13837	17022
22608	21973		53381		13844	17035
226154	21983		53416		13857	170439
22626	22003		53419		13867	170643
22631	22095		53607		13877	170677
226409	22121		53868		13885	170737
226419	22122		54135		13972	170748
226519	22129		54141		13984	170758
226562	22142		54197		14000	170762
226747	22154		54200		14004	170770
226823	22177		54426		14027	170799
22690	22240		544963		14030	170826
227059	22248		54563		140488	17089
22722	22249		54608		14050	170942
227358	22256		54670		140559	17105
227620	22321		54709		14056	17110
227644	22330		54722		14057	171188
227715	223626		55943		140629	17121
227737	22367		55948		14063	17123
227753	223696		55949		14065	17167
22791	22379		55989		14082	17215
228061	223921		56018		140858	17216
228359	22401		56088		14088	17217
228366	224045		56095		14104	17218
228410	22409		56150		14105	17219
228421	22422		56282		14113	17220
228550	224829		56292		14114	17263
228790	224897		56316		14115	17279
228869	225027		56321		14137	17286
228875	225058		56347		14148	17300
228889	225134		56354		14149	17304
229524	225363		56361		14156	17306
229543	225745		56390		14194	17309
230082	225870		56412		14201	17313
230098	226026		56428		14208	17319
230233	226101		56449		14211	17345
230257	226151		56454		14225	17356
230376	226153		56520		14227	17387
230484	226169		56524		14228	17390
230596	226409		57028		14229	17394
230603	226419		57262		14235	17427
230721	226519		57276		14287	17463
230752	226747		57370		14297	17534
230806	226823		57377		14347	17750
230972	22687		57753		14349	17756
230991	227522		57785		14371	17768
231042	227674		58226		14375	17863
231287	227715		58523		14381	17865
231452	227929		58875		14385	17869
231713	22793		59008		14387	17876
231821	228026		59012		14429	17880
231872	228410		59028		14433	17940
231887	228421		59053		14450	17975
232087	228608		59083		14453	17992
232187	228790		60507		14534	17999
232210	228846		622339		14548	18005
232440	228889		623474		14570	18008
232679	229595		626834		14582	18028
232879	229644		64177		14613	18102
232887	229731		64292		14630	18103
233040	229900		64424		14635	18117
233066	230082		64655		14664	18128
233406	230145		65019		14679	18131
233549	230233		65111		14686	18140
233826	230234		654467		14704	18148
233833	230376		654824		14708	18150
233876	230393		66039		14719	18160
234373	230596		66120		14731	18214
234776	230603		66143		14732	18221
234857	230721		66162		14751	18230
234865	231368		66164		14766	18263
235036	231452		66166		14768	18295
235283	231507		66181		14778	18391
235300	231655		66194		14782	18392
235497	231713		66211		14783	18393
235584	231872		66241		14786	18414
236539	231887		66260		14791	18432
236900	232187		66350		14792	18442
237436	232431		66356		14793	18453
237823	232679		66387		14827	18484
237877	232748		66399		14841	18538
