"","lung_tumor_kras_rep1","lung_tumor_kras_rep2","lung_tumor_kras_rep3","lung_tumor_kras_rep4","lung_tumor_kras_rep5"
"ILMN_3160556",8.92052034124708,8.64043701159116,8.50847569702957,8.56869244125157,8.49420557545074
"ILMN_2953017",10.9641919332522,11.1273898482475,10.9178009452244,10.7713708219376,10.8919592837063
"ILMN_1236796",11.2494060814878,11.5250497030201,11.5388194276008,11.2163858972506,11.1996953468061
"ILMN_2986978",8.06679556125,8.54649660309211,8.06248468274232,7.62186872471143,7.55430105135599
"ILMN_2741614",7.59411462332485,7.79169199680948,7.46370316646387,7.5928307440545,7.48572869884511
"ILMN_2741611",7.11510869355754,7.34132422697572,7.17330236164463,7.03135659625571,6.9150577346887
"ILMN_1225376",7.60077243973122,7.15753641876494,6.97341037703826,7.04193288184217,6.73530215494161
"ILMN_1256359",8.16319365194343,8.58831643427444,8.31115227144188,8.03352624414863,8.93576359228989
"ILMN_2608052",7.76416665372035,7.99592610704918,7.86238552253588,7.6569164042359,8.49969642888867
"ILMN_1247267",10.1807871877096,10.5735761869746,9.96544160389492,10.0348591309203,10.9279399599376
"ILMN_2766469",7.38348830399534,7.8073549220576,8.03190792712738,7.87824254386927,8.75116743640221
"ILMN_2597030",9.76687566861517,10.0785010958704,9.72728232921219,9.70393600777074,10.698178316934
"ILMN_1245356",8.7356617894657,8.71211855159858,8.73348145217568,8.90987433761082,9.01009096530777
"ILMN_2728521",10.4209141998459,9.99947157253268,10.0972585331548,10.2039826369546,10.1894693997358
"ILMN_2868987",12.3678907702611,11.8260568465054,12.0543160214598,12.1789468429408,11.8108653049469
"ILMN_2867033",8.77988347493664,8.4867596174127,8.12405667350659,8.01007347692926,7.96210071375633
"ILMN_2716389",7.81546335436026,7.23798667936785,7.72009459336281,7.49282959055026,7.82153484142673
"ILMN_1224116",10.9885027409471,10.934787379537,11.3257762500866,11.1741064459453,11.1576508862616
"ILMN_2602938",12.6974617384457,10.8837124479692,12.094428252289,11.8098258956352,13.3057411498882
"ILMN_2785679",7.53296463169883,7.06696369380824,7.02441249340319,7.27195901496034,7.14500867830301
"ILMN_3125207",7.0340767466631,6.98882667732795,7.16311501253249,6.92862940446725,7.15854657681479
"ILMN_2695181",8.75852513287428,8.70059143590376,8.88378880325996,8.457162816579,8.13118174478487
"ILMN_2955973",8.13368809788504,7.93625145106682,8.19065806733086,7.99173440827055,7.63265447010948
"ILMN_2621581",6.92079944109916,7.20447944461629,7.0186870236264,6.98882667732795,6.99223026496589
"ILMN_2639454",9.80600579021189,9.85950566818567,9.7521297212473,9.9541690414477,10.2547260089585
"ILMN_2635633",9.47847892808645,9.10029274888126,9.2930548739406,8.95084746839872,9.16405840267088
"ILMN_2620520",8.8981384264286,8.99685300248488,8.98848942693699,8.75393749870121,9.00395704858077
"ILMN_3109269",8.23974768355692,8.1269947892338,7.85739789170129,7.67956806603338,8.39161952202533
"ILMN_2647605",6.95543196130228,6.99385830948968,7.14044636419568,7.02652344251977,7.27990071580276
