"ID","Symbol","lung_tumor_myckras_rep1","lung_tumor_myckras_rep2","lung_tumor_myckras_rep3","lung_tumor_myckras_rep4"
192897,"Itgb4",10.476274035766,9.87731269843015,11.7745058610639,10.864525189227
192950,"Nacad",7.42332916380853,8.48865695976892,7.55301942930745,7.57651397839346
192970,"Dhrs11",7.85488785795386,7.79903872312234,8.34673532828793,7.76047046854045
192976,"Lrrc75a",11.1809969195797,11.2474380293431,10.8170635930479,10.6933889449961
192986,"Cyb5d2",7.37277288762037,7.46287636793824,7.32767899470007,7.35209188211207
193043,"Zfp3",8.74632536442001,8.61966977337873,8.38437904812963,8.62159403901754
193116,"Slu7",8.66985487905123,8.68735007060566,8.58864365961263,8.48493760972624
193286,"BC049762",7.32136443203945,7.60839344712808,7.40997426104134,7.34285249104615
193385,"Ripor2",7.73716282414662,7.87076926483357,7.80199121256718,7.59044670310419
193452,"Zfp184",7.41539848009475,7.76451916528446,7.61070190742746,8.10813236680677
193670,"Rnf185",8.72639144199434,8.63549406491131,8.70844663934704,8.66748270033348
193740,"Hspa1a",7.41428883656282,7.7069923717147,7.95909634228197,7.75284056295996
193742,"Abhd16a",10.2181015362317,10.5914814400232,10.8504115085714,10.822540957055
193796,"Kdm4b",9.53409815822608,9.3059918606914,9.50212503657716,9.46955460109693
193813,"Mcfd2",12.4118055611366,12.2655601093458,12.2142280386933,12.1244060899494
194126,"Mtmr11",7.75166709813483,7.52039252294037,7.7975671716046,7.49844745541398
194219,"Slfnl1",7.77334529129127,7.69414020407643,7.71566175493569,7.5846337241571
194237,"Rimkla",7.28485200326492,7.26646509241053,7.19238023745151,7.2350229227344
194268,"9930104L06Rik",7.20316444231524,7.52867386815282,7.12001102066394,7.14745934607698
194309,"Vps37d",7.08494122653572,7.32665418847637,7.36424411178447,7.18189764310839
194352,"Trpv5",7.16857810800757,6.98555735370211,7.0004226026611,7.07363951028323
194401,"Mical3",7.38451396139862,7.0679048742038,7.07858448527324,7.12075627297847
194433,"Olfr707",6.8837124479692,7.04705573020797,7.06285565520599,6.98569965236977
194974,"Sun3",7.21638210771032,7.44169925684027,7.25827157628285,7.06844241602583
195040,"Tmem199",10.7273887030401,11.265494182018,10.3890935219045,10.6146063307129
