"","lung_tumor_myckras_rep1","lung_tumor_myckras_rep2","lung_tumor_myckras_rep3","lung_tumor_myckras_rep4"
"ILMN_3142257",10.0404609709566,9.55742780130773,9.94168038945604,9.93571755935994
"ILMN_3163347",8.07679889909493,8.32631712331985,8.53782505924183,8.26735729939553
"ILMN_2680872",9.28512764139484,9.32211123790618,9.96209167383227,9.76871158970417
"ILMN_3108203",8.02595275276244,8.15753641876494,8.77339680783472,8.34793965642083
"ILMN_2972149",8.88378880325996,8.83192077340184,9.11211365809786,8.91229058335111
"ILMN_2646938",10.1088021227158,10.1101814933287,10.3240469054556,9.67127567840917
"ILMN_2724919",11.8738093542015,12.0796993554232,11.8038384988266,11.8038384988266
"ILMN_1259202",12.0985749659366,12.1542880743756,13.3733392844783,12.8109757295586
"ILMN_2928489",12.9244460318193,12.6683310177268,13.8558046967274,13.3951182095634
"ILMN_1231229",12.7128963858204,12.6370408532293,13.5583796047237,13.1725632627995
"ILMN_1250138",13.6245120455778,13.4576830656114,14.3011585596932,14.2182836793748
"ILMN_1250530",9.21524479596302,9.01119230599216,9.20464755615785,9.45605275249156
"ILMN_2771870",7.62303555579569,7.29289675540917,7.48447048327907,7.3173560807199
"ILMN_2771869",7.30611866678033,7.38785578059199,7.23556552293647,7.16314646881125
"ILMN_2884000",6.95604939011641,7.44475608969503,7.45025758757063,8.46122362761337
"ILMN_2749556",7.1809658501154,8.26957964233525,8.86594587101491,8.52879594112793
"ILMN_2774563",6.89170776990211,6.87713072876566,6.95346896222885,6.84333223621758
"ILMN_2685043",6.93369065495223,6.98676644523164,7.08527326986175,7.13487548807147
"ILMN_2793806",7.06359731408199,7.06699731796871,7.02070220379105,7.17305245777411
"ILMN_1215647",12.4062614841763,11.8908366238033,11.8088862680877,11.991081122587
"ILMN_2875730",6.91692443142829,7.14175591622281,7.07122770441043,7.09050943706098
"ILMN_3065459",7.29122826780777,7.29794797261662,7.16418414142602,7.07948478382681
"ILMN_3143404",7.17311493780015,7.00811343581432,6.98320739704594,6.99823782188805
"ILMN_1213817",7.1809658501154,7.1405741777099,7.40157287298906,7.15854657681479
"ILMN_2592166",7.30201053495781,7.3442404185779,7.21437983901129,7.25343387675709
"ILMN_3079257",7.31803433109442,7.13955135239879,7.10872046181086,7.15529260175195
"ILMN_3158509",7.06481011588777,6.78831050370092,6.89890364909389,7.09163372672777
"ILMN_2957665",8.80838102814691,8.56362529815352,8.08038452090898,8.46615295433341
