"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2696610",0.222950953714735,9.21538286171252,0.37039212807667,0.720623335106179,0.917654597472343,-7.21000506246471
"ILMN_2683356",-0.0558607351136482,6.60580692639051,-0.370352062106835,0.720652049437487,0.917654597472343,-7.21002138513654
"ILMN_3009400",-0.103416959272144,6.92980317928698,-0.370308991395477,0.720682917721021,0.917654597472343,-7.21003893002152
"ILMN_1241149",-0.0567526973604719,6.75335953942721,-0.37028703084036,0.720698656807776,0.917654597472343,-7.21004787491024
"ILMN_1251055",0.260566512837704,11.6213829211022,0.370158372852764,0.720790868576466,0.917654597472343,-7.21010026908605
"ILMN_2703427",-0.0714696270662047,6.73371979479504,-0.37006228656422,0.72085973871893,0.917654597472343,-7.21013938741198
"ILMN_1250427",-0.0675022320858982,7.19438411825214,-0.370013224129259,0.720894905413715,0.917654597472343,-7.21015935775976
"ILMN_2682991",-0.0638623409927499,6.51592426910749,-0.370007817504518,0.720898780786794,0.917654597472343,-7.21016155831291
"ILMN_2654541",0.0591640505452871,6.70831484631552,0.370007226617257,0.720899204324862,0.917654597472343,-7.21016179880836
"ILMN_2726128",-0.102274448297482,6.95954429868005,-0.369956201443532,0.72093577869859,0.917654597472343,-7.21018256502827
"ILMN_2540103",-0.165810322984274,9.87218340590759,-0.369486330233683,0.721272613900872,0.918031480273447,-7.21037366305534
"ILMN_2624397",0.0854379656756796,7.24505045846567,0.369098890400342,0.721550405388621,0.918333174253574,-7.21053105940882
"ILMN_2486231",-0.135696805065285,7.29335466313789,-0.368972539324665,0.721641007669742,0.918344807083849,-7.21058235466566
"ILMN_1240289",-0.133334917200738,7.28650728096626,-0.368972460990913,0.721641063841798,0.918344807083849,-7.21058238646187
"ILMN_2690715",-0.205331071397202,6.95162015256443,-0.368890397732898,0.72169991126007,0.918357855756419,-7.21061569291359
"ILMN_2674822",0.0696710968981691,7.85627207049968,0.368802250700829,0.721763123535429,0.918357855756419,-7.21065146056719
"ILMN_2766338",-0.06923390462073,7.11576267381713,-0.368733393070281,0.721812504515025,0.918357855756419,-7.21067939536087
"ILMN_2583228",-0.217181762105003,7.47885282018344,-0.368691769433413,0.721842355414966,0.918357855756419,-7.21069627917347
"ILMN_2929966",-0.181525492990662,6.9284791630756,-0.368609477995841,0.721901373215305,0.918357855756419,-7.21072965366004
"ILMN_2606130",0.225749654118365,9.44830116205076,0.368594363210216,0.721912213457357,0.918357855756419,-7.21073578289776
"ILMN_1220132",-0.0675429024709704,7.45815457588023,-0.368451501811736,0.722014676172318,0.918357855756419,-7.21079370300957
"ILMN_3143506",0.198161380123773,10.5622386083798,0.368430452933723,0.722029773302854,0.918357855756419,-7.2108022349942
"ILMN_1258906",0.338691587943396,7.84416590624777,0.368298600546108,0.722124346261799,0.918357855756419,-7.21085566952282
"ILMN_2757931",-0.133752423714663,7.92283178058319,-0.368284234176371,0.722134651047034,0.918357855756419,-7.21086149052396
"ILMN_2463080",0.0720305177044454,6.64237576223815,0.368233834491479,0.722170802474604,0.918357855756419,-7.21088190985669
"ILMN_1246807",-0.107173504642525,6.83867475546186,-0.368230260896786,0.722173365823345,0.918357855756419,-7.21088335758894
"ILMN_1238403",-0.0599996134460099,6.93132017665777,-0.368219347187155,0.722181194278648,0.918357855756419,-7.21088777885948
"ILMN_1244123",-0.148861577213264,9.1523945604088,-0.368153438319247,0.722228471759,0.918366143529659,-7.21091447661461
"ILMN_2737982",-0.11006978378439,8.42970633665509,-0.368037095390899,0.722311929488559,0.918420433595188,-7.21096159245598
"ILMN_2726101",-0.101689100416283,6.95992589740046,-0.367642825036105,0.722594785748663,0.91871867501654,-7.21112115455721
"ILMN_1247919",-0.0549117121919602,6.98876450782905,-0.367596477092846,0.722628039529676,0.91871867501654,-7.21113990081217
"ILMN_1253316",-0.162703803440468,7.49859347607828,-0.367509250493065,0.722690624679315,0.918746400984577,-7.2111751749737
