Name,Gene
mSE_00246,Rgs2
mSE_00247,Rgs2
mSE_00248,Rgs1
mSE_00249,Ier5
mSE_00250,Rcsd1
mSE_00251,Cd244
mSE_00252,Slamf6
mSE_00253,Ccdc19
mSE_00254,Zbtb18
mSE_00255,Zbtb18
mSE_00256,Lbr
mSE_00257,Fam107b
mSE_00258,Celf2
mSE_00259,Prkcq
mSE_00260,Prkcq
mSE_00261,Il2ra
mSE_00262,Il2ra
mSE_00263,Tor4a
mSE_00264,Gfi1b
mSE_00265,Fam78a
mSE_00266,Ak1
mSE_00267,Sh2d3c
mSE_00268,Ggta1
mSE_00269,Dlx1
mSE_00270,Nup160
mSE_00271,Trp53i11
mSE_00272,Rag2
mSE_00273,Ldlrad3
mSE_00274,Tmco5
mSE_00275,Bmf
mSE_00276,Chac1
mSE_00277,Sema6d
mSE_00278,Dusp2
mSE_00279,Slc20a1
mSE_00280,Prnp
mSE_00281,Rassf2
mSE_00282,Cds2
mSE_00283,Snord17
mSE_00284,Nxt1
mSE_00285,Cox4i2
mSE_00286,Ttpal
mSE_00287,0610039K10Rik
mSE_00288,Ncoa3
mSE_00289,Zfp217
mSE_00290,Slco4a1
mSE_00291,Car2
mSE_00292,Gnb4
mSE_00293,Foxo1
mSE_00294,Foxo1
mSE_00295,Foxo1
mSE_00296,Foxo1
mSE_00297,Ufm1
mSE_00298,P2ry13
mSE_00299,P2ry12
mSE_00300,Il12a
mSE_00301,D930015E06Rik
mSE_00302,Mef2d
mSE_00303,Mcl1
mSE_00304,Plekho1
mSE_00305,Hist2h4
mSE_00306,Txnip
mSE_00307,Eps8l3
mSE_00308,S1pr1
mSE_00309,Ank2
mSE_00310,Lef1
mSE_00311,Chd7
mSE_00312,Plekhf2
mSE_00313,Sit1
mSE_00314,Grhpr
mSE_00315,Susd1
mSE_00316,Akna
mSE_00317,Hook1
mSE_00318,Hook1
mSE_00319,Tm2d1
mSE_00320,Jak1
mSE_00321,Pde4b
mSE_00322,Cap1
mSE_00323,Rnu11
mSE_00324,Pigv
mSE_00325,Arid1a
mSE_00326,Ubxn11
mSE_00327,Alpl
mSE_00328,Pax7
mSE_00329,Pik3cd
mSE_00330,Mir34a
mSE_00331,2610002J02Rik
mSE_00332,Fam133b
mSE_00333,Hgf
mSE_00334,Psapl1
mSE_00335,Rhoh
mSE_00336,Chrna9
mSE_00337,Plac8
mSE_00338,Coq2
mSE_00339,Crybb3
mSE_00340,Iscu
mSE_00341,Selplg
mSE_00342,Sirt4
mSE_00343,Med13l
mSE_00344,Tpcn1
mSE_00345,Sh2b3
mSE_00346,Rhof
mSE_00347,Bcl7a
mSE_00348,Ubc
mSE_00349,Myl10
mSE_00350,Myl10
mSE_00351,Actb
mSE_00352,Gpr12
mSE_00353,Katnal1
mSE_00354,N4bp2l1
mSE_00355,Gimap4
mSE_00356,Npvf
mSE_00357,Mir148a
mSE_00358,Mir148a
mSE_00359,Mir148a
mSE_00360,Dok1
mSE_00361,Arhgap25
mSE_00362,Plxna1
mSE_00363,Txnrd3
mSE_00364,Foxp1
mSE_00365,Foxp1
mSE_00366,Foxp1
mSE_00367,Hnrnpf
mSE_00368,Cecr5
mSE_00369,Cecr2
mSE_00370,Cecr2
mSE_00371,Ptpn6
mSE_00372,Cd69
mSE_00373,Cd69
mSE_00374,Atf7ip
mSE_00375,Atf7ip
mSE_00376,Lrmp
mSE_00377,Sspn
mSE_00378,Itpr2
mSE_00379,Gm6654
mSE_00380,Ergic2
mSE_00381,Cd79a
mSE_00382,Pou2f2
mSE_00383,Tgfb1
mSE_00384,Zfp36
mSE_00385,Tyrobp
mSE_00386,Cd37
mSE_00387,Klf13
mSE_00388,Chd2
